Name,Short Description,Year,reference,File Size,File Size (KB),Dataset Variables,Data Type,Topics,Description,Score
CheXmask Database: a large-scale dataset of anatomical segmentation masks for chest x-ray images,"CheXmask Database is a 657,566 uniformly annotated chest radiographs with segmentation masks. Images were segmented using HybridGNet, with automatic quality control indicated by RCA scores.",2025,https://doi.org/10.13026/3705-zg36,37.3 GB,37300000,"Image ID, Dice RCA (Max and Mean) - quality metrics, Landmarks (organ contour points), Left Lung segmentation masks, Right Lung segmentation masks, Heart segmentation masks, Height and Width dimensions","image, table","automatic quality assesment, chest x-ray segmentation, medical image segmentation","The CheXmask Database is a comprehensive collection of 657,566 anatomical segmentation masks for chest X-ray images, aggregated from five public databases (ChestX-ray8, Chexpert, MIMIC-CXR-JPG, Padchest, and VinDr-CXR). The masks were generated using the HybridGNet deep learning model to ensure consistent, high-quality segmentation of anatomical structures including the left lung, right lung, and heart. Each segmentation mask includes individual Reverse Classification Accuracy (RCA) scores for quality assessment. The dataset is structured as CSV files containing image IDs, quality metrics, landmark coordinates, and run-length encoded segmentation masks. This resource is designed to support researchers in medical imaging, particularly in semantic chest X-ray analysis and automated diagnostic systems.",1
CiPA ECG Validation Study,"ECG effects of ranolazine, verapamil, lopinavir+ritonavir, chloroquine, dofetilide, diltiazem, and dofetilide+diltiazem in a small clinical study.",2018,https://doi.org/10.13026/C2967M,3.0 GB,3000000,"Multi-channel ECG recordings (12-lead ECG segments), QTc and J-Tpeakc intervals, Pharmacokinetic (PK) parameters, Demographic and vital signs information, ECG parameters including P onset, QRS onset, QRS offset, T peak, secondary T peak, and T offset",table,"medication, ecg","The CiPA ECG Validation Study database contains multi-channel ECG recordings from 60 healthy subjects who participated in a clinical pharmacology study designed to assess the electrocardiographic effects of seven drugs or drug combinations (ranolazine, verapamil, lopinavir+ritonavir, chloroquine, dofetilide, diltiazem, and dofetilide+diltiazem). The study aimed to determine whether exposure-response analysis of QTc and J-Tpeakc intervals can differentiate between ""balanced ion channel"" drugs that predominantly block hERG with equipotent late sodium and/or calcium block versus ""predominant hERG"" drugs that block hERG without late sodium or L-type calcium current block. The database includes 5,749 raw 10-second 12-lead ECG segments with corresponding median beats and semi-automatic annotations, along with comprehensive clinical datasets containing subject demographics, quantitative ECG measures, and pharmacokinetic parameters across the two-part study design (50-subject parallel study and 10-subject crossover study).",4
Clinical data from the MIMIC-II database for a case study on indwelling arterial catheters,Dataset extracted from MIMIC-II for a tutorial on effectiveness of indwelling arterial catheters in hemodynamically stable patients with respiratory failure for mortality outcomes.,2016,https://doi.org/10.13026/C2NC7F,6.9 MB,6900,"IAC usage flag, ICU and hospital length of stay, Demographics (age, gender, weight, BMI), SAPS I and SOFA scores, Service unit type, Admission timing, Mortality flags, Comorbidities (CHF, AFIB, renal, liver, COPD, CAD, stroke, malignancy), Vital signs (MAP, heart rate, temperature, SpO2), Laboratory values (WBC, hemoglobin, platelets, electrolytes, renal function, ABG), IV fluid intake","signal, table",,"This dataset was created for a case study in ""Secondary Analysis of Electronic Health Records"" (Springer, 2016) to investigate the effectiveness of indwelling arterial catheters (IAC) in hemodynamically stable patients with respiratory failure for mortality outcomes. The dataset contains clinical data for 1,776 patients extracted from MIMIC-II, including demographics, clinical observations from the first day of ICU stay, comorbidities, vital signs, laboratory values, and outcomes including 28-day mortality and length of stay. The study aimed to assess whether IAC use was associated with mortality in mechanically ventilated patients who do not require vasopressor support.",4
CogWear: Can we detect cognitive effort with consumer-grade wearables?,Physiological data captured in experimental condition by three wearable devices.,2023,https://doi.org/10.13026/5f6t-b637,2.7 GB,2700000,"Blood Volume Pulse (BVP) from Empatica E4 (64Hz), Electrodermal Activity (EDA) from Empatica E4 (4Hz), Skin temperature (TEMP) from Empatica E4 (4Hz), PPG Green signal from Samsung Galaxy Watch4 (25Hz), EEG signals from Muse S headband (256Hz) - raw and frequency band decomposed, Accelerometer and gyroscope data, Stroop test response data, Survey response data (GRIT, PANAS, HAPPINESS, NFR)","signal, table",,"The CogWear database consists of two datasets: pilot (11 volunteers) and survey gamification experiment (13 volunteers). Data was captured by three wearable devices (Empatica E4 watch, Samsung Galaxy Watch4, and Muse S EEG headband) during cognitively demanding tasks (Stroop test), baseline conditions, and mobile survey completion. The study investigated whether consumer-grade wearables can detect cognitive load and whether gamification impacts the cognitive burden of mobile survey completion. The dataset includes physiological signals collected across two sessions with a two-week break, where participants filled out gamified and non-gamified surveys in different orders to study the impact of simple gamification elements on cognitive burden.",5
"Combined measurement of ECG, Breathing and Seismocardiograms",ECG and seismocardiogram data collected from 20 presumed healthy volunteers.,2014,https://doi.org/10.13026/C2KW23,2.7 GB,2700000,"ECG Lead I, ECG Lead II, Respiration (thoracic piezoresistive band), Seismocardiogram (SCG from triaxial accelerometer), RR intervals","signal, table","seismocardiogram, multiparameter, respiration, ecg","The Combined measurement of ECG, Breathing, and Seismocardiograms Database (CEBSDB) contains 60 records from 20 healthy volunteers measured at the Universitat Politecnica de Catalunya. The database was designed to investigate whether errors in RR time series detection using different ECG leads are influenced by breathing patterns, and to compare RR time series obtained from conventional ECG versus seismocardiogram measurements. Each record contains two ECG channels (leads I and II), respiratory signal from a thoracic band, and seismocardiogram from a triaxial accelerometer, all sampled at 5 kHz. The dataset includes basal state recordings (5 minutes), classical music listening sessions (approximately 50 minutes), and post-music recordings (5 minutes) for each subject.",4
Complex Upper-Limb Movements,Hand trajectory data collected from ten subjects as they performed various upper-limb motor tasks.,2018,https://doi.org/10.13026/C24T0M,54.7 MB,54700,"Time axis (seconds), X-coordinates of hand trajectory (meters), Y-coordinates of hand trajectory (meters), Z-coordinates of hand trajectory (meters)",table,movement,"The Complex Upper-Limb Movements database contains hand trajectory data collected from ten healthy subjects (7 males; 26.4±4.52 years) as they performed various upper-limb motor tasks. Data was collected using a camera-based motion capture system (VICON) to reconstruct three-dimensional position of reflective markers representing hand trajectory motion. The tasks included writing words in capital and cursive letters (Boston, Harvard), drawing shapes (circles, ellipses, spirals, triangles), 3D arm movements to reach and transport objects, planned and unplanned 2D arm movements, and random 3D movements. The database was used to identify motor primitives contributing to complex upper-limb movement patterns by analyzing movement components in Cartesian coordinates rather than magnitude of velocity vectors.",5
Congestive Heart Failure RR Interval Database,"This database includes beat annotation files for 29 long-term ECG recordings of subjects aged 34 to 79, with congestive heart failure (NYHA classes I, II, and III).",2003,https://doi.org/10.13026/C2F598,6.4 MB,6400,"RR intervals, Beat annotations, ECG timing data",table,"chr, interbeat, rr interval","This database provides beat annotation files for 29 long-term ECG recordings from subjects aged 34 to 79 years with congestive heart failure (NYHA classes I, II, and III), including 8 men and 2 women with gender unknown for 21 subjects. The original ECG recordings were digitized at 128 samples per second, and beat annotations were obtained through automated analysis with manual review and correction. The database was contributed by Rochelle Goldsmith of Columbia-Presbyterian Medical Center and has been used in multiple studies examining autonomic function and heart rate variability in chronic heart failure patients.",1
Continuous Cuffless Monitoring of Arterial Blood Pressure via Graphene Bioimpedance Tattoos,Cuffless blood pressure data repository that includes raw time data for 4-channel Bioimpedance signals using Graphene Tattoos from the wrist with synchronized continuous blood pressure and PPG signals from 7 subjects.,2022,https://doi.org/10.13026/ce62-pc98,2.3 GB,2300000,"BioZ1-4 signals, Continuous BP, PPG signals, Time stamps","signal, table","blood pressure, graphene, bioimpedance, ppg","This database presents a novel approach to continuous, cuffless arterial blood pressure monitoring using atomically-thin graphene electronic tattoos (GETs) with bioimpedance measurements from radial and ulnar arteries on the wrist. The dataset includes synchronized 4-channel bioimpedance signals, continuous blood pressure measurements from a medical-grade Finapres NOVA device, and PPG signals collected from 7 subjects over 300+ minutes each (totaling 18,667 datapoints and approximately 2,500 BP measurements per participant). The data supports machine learning regression models for beat-to-beat BP estimation and includes various experimental protocols such as Hand Grip Cold Pressor (HGCP), Valsalva maneuvers, cycling exercises, and baseline measurements to capture a wide range of blood pressure variations.",3
CPAP Pressure and Flow Data from a Local Trial of 30 Adults at the University of Canterbury,A pressure and flow dataset was collected from a trial of 30 adults at the University of Canterbury undergoing CPAP therapy for a variety of instructed breath rates at PEEP levels of 4cmH2O and 7cmH2O.,2022,https://doi.org/10.13026/xfae-vv63,233.6 MB,233600,"Time, Pressure at Venturi 1&2, Flow at Venturi 1&2, Demographics","signal, table","peep, cpap, respiratory mechanics, pulmonary mechanics, respiratory modelling, biomedical engineering","This database contains pressure and flow measurements from 30 healthy subjects (ages 19-58, equal male/female split) undergoing CPAP ventilation at the University of Canterbury. The data was collected using a customized sensor system with dual-Venturi tubes to capture inspiratory and expiratory flow at two nominal PEEP levels (4 and 7 cmH2O) across five different breathing rates (from passive to very fast breathing, 6-60 breaths per minute). Each recording captured approximately 17 breaths per breathing rate, recorded at 83.33 Hz and resampled to 100 Hz. The dataset is intended for model-based analyses of patient-specific lung mechanics (elastance and airway resistance) and work of breathing in spontaneously breathing subjects, with the goal of developing protocols for optimizing mechanical ventilation settings without relying solely on physiological responses to PEEP adjustments.",2
CTU-CHB Intrapartum Cardiotocography Database,552 cardiotocography records collected between 2010 and 2012 at the Czech Technical University and University Hospital in Brno.,2014,https://doi.org/10.13026/C22013,38.0 MB,38000,"Fetal heart rate, Uterine contractions, Maternal/delivery/fetal clinical data","signal, table","fetal, multiparameter, cardiotocography, heart rate","This database contains 552 carefully selected cardiotocography (CTG) recordings from the Czech Technical University in Prague and the University Hospital in Brno, collected between 2010 and 2012 from 9164 original recordings. Each recording is up to 90 minutes long, starting no more than 90 minutes before delivery, and includes fetal heart rate and uterine contraction signals sampled at 4 Hz. The database focuses on singleton pregnancies over 36 weeks gestational age with no known developmental defects, including comprehensive maternal, delivery, and fetal clinical parameters along with umbilical arterial blood analysis for research in intrapartum fetal monitoring.",2
CUILESS2016,A corpus of Concept Unique Identifier concepts taken from the SemEval2015 Task 14.,2018,https://doi.org/10.13026/C2F66G,148.3 KB,148,"Disorder mentions, CUI mappings, Normalization flags, Cue flags","text, table","concept, umls, snomed","The CUILESS2016 database contains 5,397 disorder mentions from the ShARe corpus that were previously labeled as ""CUI-less"" in the SemEval-2015 Task 14 shared task. These concepts have been annotated and mapped to SNOMED CT as represented in UMLS 2016AB. Unlike previous normalization methods, this annotation process allows assignment of CUIs from any UMLS semantic group and permits compositional normalization using multiple CUIs per disease entity, expanding the semantic coverage for clinical text normalization tasks.",4
CU Ventricular Tachyarrhythmia Database,"This database includes 35 eight-minute ECG recordings of human subjects who experienced episodes of sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation.",2007,https://doi.org/10.13026/C2X59M,6.4 MB,6400,"ECG signals, Ventricular tachycardia/flutter/fibrillation episodes, Beat annotations","signal, table","ventricular fibrillation, ecg","The CU Ventricular Tachyarrhythmia Database contains 35 eight-minute ECG recordings from human subjects who experienced episodes of sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation. The recordings were collected at the Creighton University Cardiac Center and digitized at 250 Hz with 12-bit resolution. The database is particularly valuable for developing and evaluating ventricular fibrillation detectors and for basic research on VF dynamics. Each record contains approximately 127,232 samples (slightly less than 8.5 minutes), and includes reference annotation files marking VF onset and beat labels, though these are approximate and primarily intended to aid users in locating events of interest.",1
